title	description	topic	signum
The Detroit Lions are heading into Thanksgiving as one of the NFL's best teams and it's so weird	The Detroit Lions are one of the NFL's most fun teams and it's so weird to see.		
Taylor Swift won't be at Eagles - Chiefs ... but will her parents meet the Kelces?	Will Taylor Swift's parents still be at Chiefs - Eagles even if she isn't?		
Billboard Music Awards 2023: Full winners list	Country titans Morgan Wallen and Taylor Swift dominated the Billboard Music Awards with a string of wins, including top artist and top Hot 100 artist.		
Fans think this 2009 Travis Kelce tweet about college football is just so relatable	2009 Travis Kelce was just having a good time.		
The 5 most watchable NFL games for Week 11 2023, ranked	Here are the best games to watch in Week 11.		
Taylor Swift fans think Eras Tour bracelets lit up with Chiefs colors during her End Game performance	Big reputations and now gold and red bracelets!		
The 23 most delightfully goofy Travis Kelce tweets unearthed by Taylor Swift fans	These are all so wholesome.		
The Chiefs welcomed Taylor Swift's dad Scott to their fan base after he wore a Kansas City lanyard	The Chiefs have made their move to officially make Scott Swift one of their fans.		
Donna Kelce discusses seeing The Eras Tour movie and whether Taylor Swift will be there for Chiefs - Eagles	"Momma Kelce said the film adaptation of the popular tour was ""amazing."""		
Fans speculate Travis Kelce keeps texting Taylor Swift during episodes of New Heights podcast	Honestly, if we could text Taylor Swift, we'd be doing it all the time, too.		
Travis Kelce's astonishingly philosophical tweet from 2012 had Taylor Swift fans making so many jokes	When you take your first philosophy class ...		
4 Travis Kelce and Taylor Swift podcast revelations from his Argentina trip, including knowing Karma lyrics would change	Travis Kelce talked with his brother Jason on their New Heights podcast about his trip to see Taylor Swift in Argentina.		
Hear Travis and Jason Kelce's delightful Fairytale of Philadelphia Christmas song duet	The Kelce brothers sound so good together.		
Will Taylor Swift fans send the Travis and Jason Kelce holiday song to No. 1?	That's right, the Kelce brothers have a holiday song coming out!		
OK, fine, Sean Payton. Your plan to turn the Broncos around is finally working	Sean Payton is finally doing the Broncos some good.		
The Taylor Swift bowl, Victor Wembanyama vs. Chet Holmgren and more on this week's betting calendar	NFL Week 11 features a rematch of Super Bowl 57 between the Eagles and Chiefs.		
Taylor Swift fans think her grateful message to Buenos Aires used one of Travis Kelce's favorite phrases	Maybe Taylor Swift already has the word “electric” in her vocabulary — heck, she has a song called Electric Touch! — to describe the die-hard crowds during the Eras Tour, bu…		
Video shows all the times Taylor Swift sang to Travis Kelce at the Eras Tour in Argentina	Taylor Swift made sure Travis Kelce knew she was singing to him.		
Taylor Swift fans remix her Travis Kelce kiss into incredibly beautiful videos	These Taylor Swift and Travis Kelce remixes are the best.		
Taylor Swift and Travis Kelce will be 'engaged by May,' predicts actress Hilarie Burton	We're sure Taylor Swift fans are hoping this prediction comes true.		
USA TODAY Network, Tennessean appoint inaugural Beyoncé reporter	Veteran reporter Caché McClay was chosen to cover Beyoncé's social and cultural influence for The Tennessean and the USA TODAY Network in Nashville.		
Travis Kelce's reaction to Taylor Swift changing the lyrics to Karma to be about him had fans losing it	“Karma is the guy on the Chiefs, coming straight home to me.”		
Taylor Swift fans swoon over Travis Kelce’s hours-long red-eye flight to be at the Eras Tour in Argentina	Travis Kelce took an overnight flight some 5,600 miles across the globe to be there for Taylor Swift!		
Taylor Swift fans think they've found Travis Kelce's plane that's headed to Argentina	Could this be Travis Kelce flying down to see Taylor Swift at the Eras Tour?		
Taylor Swift's new Eras Tour pink outfits had everyone making Barbie (Taylor's Version) jokes	A changed look for Taylor Swift's latest Eras Tour stop in Buenos Aires.		
Taylor Swift fans think her smile during Labyrinth as she sang 'falling in love again' is all about Travis Kelce	Was Taylor Swift singing a message to Travis Kelce during the Eras Tour? Fans think so.		
Travis Kelce had a really good reason for missing Taylor Swift's first Eras Tour show in Argentina	Travis Kelce was in Kansas City for an important event while Taylor Swift kicked off her first show in Argentina.		
NC State football perfectly invoked Taylor Swift for Payton Wilson's postseason awards campaign	This is a winning combo.		
Dry Swifties or Wet Swifties? This Buenos Aires weather report (Taylor's version) is too funny	The buzz is high in Argentina with the Eras Tour starting back up.		
NBA refs ejected Giannis Antetokounmpo against the Pistons for the most pathetic reason	It's always great when officials make the game about themselves, isn't it?		
6 signs Taylor Swift's Reputation (Taylor’s Version) could be dropping soon, according to fans	Could there be any truth to these fan theories about Swift's latest re-release?		
Travis Kelce will travel to Taylor Swift's Eras Tour stop in Argentina, per multiple reports	Multiple reports say Travis Kelce is headed down to Buenos Aires for Taylor Swift's Eras Tour stop there.		
Peyton Manning and Luke Bryan hysterically roasted the Jets with a CMA Awards joke involving Taylor Swift	Jets fans might want to avoid this one.		
Jason Kelce says 'I’m not even the sexiest man in my family' after People's Sexiest Man Alive feature	We assume Jason Kelce is referring to Travis Kelce here.		
Don't let Travis Kelce distract you from Jason Kelce being among People's Sexiest Men Alive	Excuse me, Travis Kelce, but Jason Kelce must be protected AT ALL COSTS.		
Travis Kelce hints at flying to Taylor Swift's Eras Tour stop in Argentina in latest podcast ep	Could Travis Kelce be implying he's flying south to Argentina to see Taylor Swift for her Eras Tour stop?		
5 wildest NFL betting moments (so far) this season, including Patrick Mahomes' slide	There have been plenty of bad beats so far this NFL season.		
Taylor Swift reportedly hosted wives of Travis Kelce's teammates at a Chiefs watch party	Wives of Travis Kelce's teammates were seen leaving Swift's Tribeca home on Sunday.		
The Giants' Daniel Jones era probably just came to a whimpering end with his latest injury	Losing your job to injury is tough. It's about to happen to Daniel Jones.		
NFL Week 9 takeaways: Strange QB matchups make for odd results	The NFL quarterback carousel spun out of control on Sunday, with seven teams making a change at the position from the previous week.		
Taylor Swift hangs with Brittany Mahomes, Sophie Turner in NYC: Photos	Taylor Swift was spotted hanging out in New York City on Saturday with friends Selena Gomez, Brittany Mahomes, Sophie Turner and Gigi Hadid.		
Travis Kelce won't say if Taylor Swift will be in Germany and jokingly blames oddsmakers for it	Those pesky oddsmakers always getting in the way		
Why Travis Kelce and the Chiefs are playing in Germany in Week 9, explained	Here's the answer.		
Taylor Swift fans want to know why Travis Kelce isn't in the Chiefs' latest TikTok	AN INVESTIGATION: The Chiefs are playing checkers while the Swifties are playing chess.		
Mike McDaniel hilariously could not accept that kids were dressing up as him for Halloween	Easily the funniest coach in the NFL.		
16 best celebrity costumes for Halloween 2023, including Paris Hilton as Britney Spears	Not to be dramatic, but some of these are truly iconic.		
NFL Week 8 Awards: Brock Purdy is showing his haters they were all absolutely right	Brock Purdy's critics were correct. He's a system player AND he stinks.		
Chiefs fan Morgan Freeman has no interest in Travis Kelce and Taylor Swift’s love life	Morgan Freeman said what he said.		
Jack Black shamelessly belting out Taylor Swift lyrics in his underwear is glorious	Jack Black is a legend for this.		
Will Taylor Swift keep going to Travis Kelce's games? Let's look at their schedules	Let's look at the Eras Tour schedule and the Chiefs' slate of games to see if we'll see more Swift at his games.		
10 outrageous Dolly Parton covers that don't exist but definitely should exist	There's nothing Dolly can't do.		
NFL fans debated whether or not Josh Allen called a ‘Taylor Swift’ audible or a ‘J.R. Smith’ audible	"Did Josh Allen say ""Taylor Swift"" or ""J.R. Smith"" with this TNF audible call?"		
Taylor Swift fans are convinced 1989 (Taylor’s Version) could be a double album, and they might be right	Are the Swifties on to something here?		
Taylor Swift fans aren't going to be happy with Terry Bradshaw's Eras Tour lip sync theory	Taylor Swift fans might have some beef with Terry Bradshaw over this one.		
The Texas Rangers' run to the World Series is everything we love about sports	The Rangers are doing things the right way and it's so fun to watch		
Taylor Swift is officially a Chiefs fan thanks to the way she sings the national anthem	Taylor Swift is just like every Chiefs fan now.		
The Eagles' Tush Push doesn't need to be banned. Other teams just need to stop it	Don't ban the tush push. Just get a stop.		
Travis Kelce fist-pumps after a ‘Taylor Swift’s boyfriend’ cheer from an enthusiastic fan	Kelce can add one more title to his long list of accolades.		
Taylor Swift's best outfits at Chiefs games, ranked: A running tally of what she's worn to watch Travis Kelce	Breaking down the best Taylor Swift fits at Chiefs games.		
Taylor Swift fans all made the same joke about her and Travis Kelce riding a golf cart to an afterparty	Riding in a getaway car(t).		
What's behind the extreme heat wave in Brazil that forced Taylor Swift to postpone a show	"Thousands of Taylor Swift's fans in Brazil have braved extreme heat to watch the singer perform on her wildly popular ""Eras Tour."""		
GOP rising star Mark Robinson’s wretched Facebook feed lands him in trouble ... again	North Carolina’s lieutenant governor, a rising star in the GOP, appears to have posted comments on Facebook quoting Hitler and minimizing the Holocaust.		
The Philadelphia Eagles' signature 'tush push' is effectively driving its critics mad	"Philadelphia and Jalen Hurts beat the Miami Dolphins on Sunday. The Eagles' only crime with its ""brotherly shove"" is making football fourth downs less dramatic."		
Lionel Messi draws Brazilian fans to what could be his last match in Rio	Many Brazilians have become fans of Lionel Messi in recent years, and his potentially last game in Brazil is drawing many local fans.		
Eagles vs. Chiefs live updates: Top moments from Monday Night Football	Week 11 of the 2023 NFL season comes to a close Monday with the Eagles facing the Chiefs. Here are the top moments!		
What Travis Kelce, Patrick Mahomes, more are saying about Taylor Swift	Several people close to Travis Kelce expressed their thoughts on his relationship with Taylor Swift ahead of Monday's Chiefs-Eagles tilt.		
Eagles hope their new safety has the secret to stopping Travis Kelce	Can anyone slow Travis Kelce? New Eagles safety Kevin Byard will look to try to do just that in Monday's rematch of Super Bowl LVII.		
Buccaneers are on a 3-game skid, but still have a lot to play for this season	Tampa Bay has lost three straight and fallen out of the NFC South lead, but the middle of the NFL is wide open, and playoff contention requires them to be good, not great.		
Buffalo Bills made a philosophical change with Josh Allen in win, but is it sustainable?	The Buffalo Bills got Josh Allen more involved in the running game. It gave them a spark, but is it sustainable?		
What we learned in NFL Week 7: Lamar Jackson as MVP frontrunner; Travis Kelce's immense value	Lamar Jackson is an MVP frontrunner, Travis Kelce showed why he's as valuable to his team as any pass-catcher in the NFL — and that's just a small part of what we learned in Week 7.		
Sportsbooks win big via Patriots upset; college bettors fall flat with USC loss	Sportsbooks won big in NFL Week 7, as the Patriots' shocking outright win over the Bills blew up parlays, Patrick Everson reports.		
Sportsbooks win big in NFL Week 7 thanks to Patriots upset of Bills; college bettors also lose with USC	Sportsbooks won big in NFL Week 7 as the Patriots' upset of the Bills blew up parlays, and USC losing to Utah was bad for bettors, Patrick Everson reports.		
NFL top-10 rankings: Chiefs hold top spot; Eagles, Ravens rise; Dolphins, Lions fall	Kansas City stays No. 1, but the rest of the rankings are a jumble as the Eagles and Ravens fly high while the Dolphins and Lions regroup.		
Eagles defense smothers Dolphins' electric attack in impressive win	Philadelphia's defense shut down the NFL's most dangerous offense, showing the Eagles have many ways to beat anyone they play.		
P.J. Locke saves Denver from another meltdown as Broncos beat Packers 19-17	The Broncos blew a 16-3 lead but ultimately ended a dubious streak in which they had lost 10 consecutive games when leading at halftime.		
Despite three red-zone fumbles, Falcons still beat Bucs to grab first place	Both teams struggled near the goal line, but Atlanta hit a field goal as time expired to beat the Bucs and move into first place in the NFC South.		
Browns edge Myles Garrett dominates in win over Colts: 'Man, 95 is a problem'	Myles Garrett's Sunday: nine tackles, two sacks, two forced fumbles, a pass breakup and a blocked field goal. Oh, and the Browns won 39-38.		
LeBron James to clap back at Nuggets' trash talk? 'There will be a time'	With the Los Angeles Lakers and Denver Nuggets' season opener around the corner, LeBron James weighed in on all the trash talk he has absorbed.		
Canada’s economy faces $900-billion mortgage renewal shock	The biggest shock awaits variable-rate mortgages set to renew in 2026. A five-year variable mortgage renewing in October of that year would see payments jump 76 per cent if mortgage rates stayed around 6 per cent		
Shelter aid sticking points			
Let's be clear about what 'dark money' is			
Guy's night out			
Migrant crisis comes to a head			
Biden world sinks its claws into Phillips	And Vice President Kamala Harris is in London this morning ahead of the kickoff of the big Global AI Safety Summit		
The phantom menace			
Playbook: New speaker, new attitude	And the White House rebuked a comparison of Israel to Russia.		
Ballot questions put to an early test			
'We found a way': Hurts' take on Eagles-Chiefs leads NFL's top Week 11 quotes	From the Chargers' head coach getting feisty to a Broncos safety defending his now-suspended teammate, NFL Week 11 action provided an abundance of memorable quotes.		
How Patriots coach Bill Belichick helped Josh Uche ignore the trade deadline noise	"Uche credits ""some open, transparent dialogue with Bill"" for helping him work through hearing his name involved in trade buzz."		
Hype Trap Bet: Joshua Dobbs' case for Comeback Player of the Year	Joshua Dobbs has taken the league by storm. Kevin Pulsifer analyzes his chances to win Comeback Player of the Year as the underdog story of the 2023 season.		
Why football in Premier League and Europe is anything but a fair fight	It's not surprising that big teams with lots of resources and money might win more trophies -- just look at Man City's dominance in recent seasons -- but what might surprise you is the sheer scale of this inequality.		
The NFL's stalled running back market, three months later: Barnwell on what's next for the position	Let's check in with eight running backs who dominated the conversation in the offseason. Are they living up to expectations?		
The late-night dive to rescue the Bedlam goalposts after Oklahoma State's historic win	Hours after Oklahoma State took down rival OU in their final matchup, a few Cowboys fans went hunting for a piece of Bedlam history.		
Kelce: Chiefs have every piece needed to be great	The Chiefs heading into Sunday's game against the Dolphins haven't been an offensive power like in previous seasons. But tight end Travis Kelce said that's not because the Chiefs are deficient at wide receiver.		
Mike Clay's NFL Betting Playbook for Week 9	Mike Clay pits his projection system against the sportsbooks with a game-by-game look at Week 9 player props, offering his leans for taking the over or the under.		
'You're a wizard, Harry': Notable trends from Diamondbacks' last World Series win	Some of the top Arizona Diamondbacks' players were just infants the last time Arizona made the World Series in 2001.		
Hype, Trap, Bet: How to handle the Michigan scandal	Kevin Pulsifer looks at a tumultuous Wolverines program that's somehow heading in opposite directions at the same time.		
Union Berlin are no longer an underdog fairytale, but they're worth rooting for	Union Berlin's players couldn't believe the support of their home fans as their losing streak stretched to nine games on Tuesday night. But that's what makes this club, and its supporters, so special.		
Underdogs bite betting public on big Sunday for sportsbooks	The betting public took a big hit on Sunday after two popular underdog teams failed to live up to expectations. David Purdum breaks it all down.		
Trump Is Still Obsessed With the ‘Golden Showers’ Rumor	Most of us have stopped thinking about the fabled ‘pee tape,’ but Donald Trump won’t let us forget it. He told Iowa rallygoers that Melania didn’t believe the golden showers story, though nobody asked.		
Fabian Basabe Will Not Be Canceled	Fabian Basabe, the party boy turned Miami GOP politico, fights off sexual harassment claims by male staffers and plots his future. (His wife stands by him.)		
This AI Quiz Will Turn Your Life Into A Taylor Swift Song In Like, 15 Seconds	I'm all ears...View Entire Post ›		
Just 43 Things That’ll Be Super Easy To Wear With Stuff You Already Own	Because sometimes you just need the right pants to go with a certain top.View Entire Post ›		
55 Unexpected Gifts That'll Put Santa To Shame	Commemorative Taylor Swift tickets, Renaissance cat calendars, Love Island tumblers, and tons of other fun items your giftee had no idea they needed.View Entire Post ›		
34 Beauty Products With Before And Afters That’ll Seriously Wow You	Your jaw is gonna drop when you see what the biotin shampoo could do for you.View Entire Post ›		
"The ""22"" Hat Taylor Swift Gives Away Every Night On Tour Costs Almost $400, Plus 26 Other BTS Facts About Her Eras Tour Wardrobe"	Taylor's 16 costume changes involve wayyy more Swarovski crystals than you might think!View Entire Post ›		
36 Incredible Products I Think About Even More Than Taylor Swift And Travis Kelce (And I Think About Them A *Lot*)	I look at this $5 holy grail mascara the same way Trav looks at Taylor.View Entire Post ›		
Reviewers Swear By These 28 Makeup Products Under $25	From setting spray to a top-rated brow pencil, get the most bang for your buck with these reviewer-loved makeup must-haves.View Entire Post ›		
Taylor Swift Went Out With A Large Group Of Famous Girlfriends, And It's Just Looking Worse And Worse For Joe Jonas	I imagine them doing some sort of Hocus Pocus hexing spell while eating the biggest ball of burrata you've ever seen.View Entire Post ›		
A Reporter Asked Travis Kelce The Status Of His Relationship With Taylor Swift, And Fans Love His Response	Travis is keeping his cards close to his chest.View Entire Post ›		
46 Beauty Products That Really And Truly Solve Problems	We're human, we have problems — but these products will make them ( poof) ~disappear~.View Entire Post ›		
If You’re Always Running Late, Here Are 43 Products To Help You Get Back Some Time In Your Day	Including a sunrise alarm clock that will wake you up gradually so you don't have to hit snooze 15 times.View Entire Post ›		
41 Pieces Of Clothing And Shoes For Anyone Who Has Been Wearing Black Long Before Wednesday Addams	Your closet will be dancing like Wednesday after you finish shopping this post.View Entire Post ›		
"Here's What People Are Saying After Kelly Clarkson Responded To Claims She ""Bashed"" Taylor Swift And Travis Kelce"	"""Do not fall prey to clickbait, trash reporters twisting the facts again.""View Entire Post ›"		
41 Things That'll Make You Want To Start Writing Your Holiday Wish List Now	A monthly book subscription, a soft serve maker, Taylor Swift-inspired embroidered sweatshirts, and more great things you'll want to add to your own holiday wish list this season.View Entire Post ›		
Feds Subpoena Ticketmaster Over Egregious Concert Prices After It 'Stonewalled' Lawmakers	A spokesperson for Live Nation, which owns Ticketmaster, said the firm doesn't “feel comfortable” sharing information with Congress.		
iPad Kids Are Getting Out of Hand	"Millennials are raising ""bizarre and terribly behaved” children, glued to screens. Can Gen Z flip the script?"		
House may consider Mayorkas impeachment this week	The House may consider a resolution this week that aims to impeach Homeland Security Secretary Alejandro Mayorkas after a push by Rep. Marjorie Taylor Greene (R-Ga.) to do so, according to the chamber’s schedule of measures it plans to consider. The Mayorkas …		
Shiffrin turns page on busy off-season, begins pursuit of record-tying 6th overall World Cup title	Keeping up with Mikaela Shiffrin's off-season endeavours may be just as challenging as catching up to her in a ski race. She's constantly full speed ahead.		
Eagles couldn’t help themselves by making a Taylor Swift reference after win over Chiefs	The Philadelphia Eagles are celebrating their win on “Monday Night Football” against the Kansas City Chiefs with an apparent nod to Travis Kelce’s relationship with Taylor Swift.		
Taylor Swift’s Rio tour marred by deaths, muggings and a dangerous heat wave	Taylor Swift's three-day leg of her eras tour in Rio de Janeiro, Brazil was marred by the deaths of two people, extreme heat and muggings and crime, as fans decried on social media.		
Nikki Haley's abortion messaging and X sues Media Matters: Morning Rundown	OpenAI employees threaten to leave after CEO Sam Altman's ouster.		
Jalen Hurts leads second-half rally as Eagles beat Chiefs 21-17 in Super Bowl rematch	The Philadelphia Eagles rallied from a 10-point halftime deficit to beat the Kansas City Chiefs 21-17 in a Super Bowl rematch Monday night.		
Taylor Swift concert runs into brutal Brazilian heat wave	The death of a Taylor Swift fan at her recent concert in Rio de Janeiro comes during a brutal heat wave that has hammered parts of Brazil.		
Biden confuses Taylor Swift with Britney Spears in remarks on his 81st birthday	President Joe Biden mixed up Taylor Swift and Britney Spears in remarks Monday during the White House’s annual turkey pardoning ceremony, which happened to fall on the president’s 81st birthday.		
Taylor Swift Rio concert chaos: Fans describe ‘unbearable' Friday show	"Fans in Rio de Janeiro waited years for Taylor Swift to come to their city. When she finally did, “everything that could have gone wrong did,"" one fan said."		
Biden to celebrate his 81st birthday pardoning Thanksgiving turkeys	President Joe Biden will be spending his 81st birthday Monday carrying out an annual White House tradition: pardoning two lucky turkeys.		
How Taylor Swift transcends America's political divides — barely	Pop star Taylor Swift notched the highest net favorability ratings of any figure tested in the latest NBC News national poll.		
Biden and Xi announce new agreements and mother of 6-year-old who shot teacher sentenced: Morning Rundown	Chinese president Xi Jinping and President Joe Biden find common ground.		
How Taylor Swift and Travis Kelce are inspiring people to raise their dating standards	It’s a love story that people just want to say yes to: Taylor Swift and Travis Kelce — who have been rumored to be dating since September — are inspiring people to step up their own dating expectations.		
Taylor Swift asks fans not to throw objects on stage	Taylor Swift asked fans at her Buenos Aires concert on Sunday night to not throw objects on stage, saying “it really freaks me out.”		
Gaza's main hospital 'no longer functioning' and Tim Scott suspends campaign: Morning Rundown	Get everything you need to know to start your day. Sign up to get the Morning Rundown newsletter to your email inbox.		
Taylor Swift cancels Friday night show in Buenos Aires after Travis Kelce arrives in Argentina	Taylor Swift called off her Friday night Eras Tour show in Buenos Aires due to intense rain even after Travis Kelce showed up to watch her perform.		
Taylor Swift makes Grammy Awards history with most song of the year nominations	Taylor Swift made history when the nominations for 2024 Grammy Awards were announced on Friday. The music superstar became the first person to be nominated in the song of the year category seven times.		
Taylor Swift delights Argentina concert fans with popular Spanish slang	"Taylor Swift fans went wild in Argentina when she swapped the words ""like ever"" for a Spanish expression popular in Argentina, and the crowd went wild."		
Taylor Swift's headed to Argentina for her Eras Tour — Travis Kelce plans to be there, too	Taylor Swift has been on the sidelines rooting Travis Kelce on while he works, and now, he's expected to travel to Argentina as her Eras Tour resumes.		
Taylor Swift’s Eras Tour concert film takes its final bow at the box office this weekend	Taylor Swift takes her final bow at the movie box office this weekend.		
NewJeans says they’re more than solely K-pop stars as they break global barriers	NewJeans is reflecting on being the first K-pop girl group to be nominated for the “Top Billboard Global (Excl. U.S.) Artist” award.		
Halloween 2023: A look at the viral moments that inspired people's costumes this year	Many online are sharing their Halloween costumes that were inspired by viral moments, pop culture trends and iconic internet memes.		
Chiefs lose, Travis Kelce has a tough day in Taylor Swift's absence	High-profile tight end Travis Kelce underperformed against expectations Sunday in the Kansas City Chiefs' loss to the Denver Broncos — and his reported sweetheart, Taylor Swift, wasn't there to see it.		
‘1989 (Taylor’s Version)’ is coming. Here’s what to know.	‘1989 (Taylor’s Version)’ features vault tracks: “Now That We Don’t Talk,” “Suburban Legends,” “Say Don’t Go,” “Is It Over Now?” and “‘Slut!’”		
Taylor Swift kisses Travis Kelce on the cheek in Instagram photo	Taylor Swift and Travis Kelce are getting just a little bit more cozy in a new snap that has fans buzzing.		
Taylor Swift wears friendship bracelet with Travis Kelce’s jersey number at Chiefs-Chargers game	Taylor Swift might be the Kansas City Chiefs’ good luck charm.		
Taylor Swift's Eras Tour linked to unfortunate circumstances in Rio, including fan deaths and dangerous heat	Taylor Swift's Eras Tour has been marred by the deaths of fans, muggings and a dangerous heat wave in Rio de Janeiro. On Friday, a fan fell ill during the show and later died.		
‘Hunger Games’ prequel tops box office with $44 million opening in North America	"The ""Hunger Games"" prequel, ""The Hunger Games: The Ballad of Songbirds & Snakes"" has brought in an estimated $44 million in ticket sales at the North American box office."		
Taylor Swift suffers wardrobe malfunction on stage during Brazil 'Eras Tour' stop	"Taylor Swift's heel broke off during the ""Lover"" set of ""The Eras Tour"" in Brazil. The ""Midnights"" singer took the stage Monday night for a rescheduled show following ""extreme"" weather."		
Donna Kelce regrets calling Taylor Swift 'okay' in interview, says son Travis is 'happier' in life	Travis Kelce's mom, Donna Kelce, apparently has regrets over how she answered a question about Taylor Swift, but her son assured her she handled it perfectly.		
Taylor Swift's beau Travis Kelce details their courtship; Sami Sheen reveals she had a boob job	The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.		
Tom Brady rips 'mediocrity in today’s NFL,' takes issue with 'product' on the field	"Tom Brady expressed his frustration with what he's been seeing on the NFL field and the officiating. He made his comments on the ""Stephen A. Smith Show."""		
Chiefs' Marquez Valdes-Scantling drops go-ahead TD pass, smashes helmet in frustration	Kansas City Chiefs wide receiver Marquez Valdes-Scantling dropped a key pass late in their loss against the Philadelphia Eagles. The catch would have been the go-ahead score.		
Travis Kelce breaks scoreless drought but key fumble contributes to Chiefs loss sans Taylor Swift	Travis Kelce made an impact early for the Kansas City Chiefs, but key mistakes stymied the team in their narrow loss to the Philadelphia Eagles.		
Sofia Vergara admits divorce contributed to 'interesting and very difficult' year	"Sofia Vergara admitted that she had a ""very interesting"" and ""very challenging"" year following her divorce from her husband of 7 years, Joe Manganiello."		
Biden’s birthday present: Abysmal polls and growing concern about his age	As President Biden's foreign policy blunders mount, the Democratic base grows weary in their enthusiastic support of the 81-year-old president.		
Biden's Taylor Swift-Britney-Beyoncé mix-up sparks social media mockery: 'This is an impeachable offense'	President Biden appeared to confuse pop singers Britney Spears, Beyoncé and Taylor Swift during his comments at the annual turkey pardon at the White House on Monday.		
Biden mocked after confusing pop music stars during turkey pardoning joke: 'Impeachable offense'	Social media users piled on President Biden after he botched a joke Monday that appeared to be targeting young voters due to their enthusiasm for the pop music stars.		
Coddling in college: ‘Helicopter parents’ use Facebook groups to arrange playdates, warn about non-vegan food	"A growing number of parents are using WhatsApp and Facebook groups to help assist their children away at college, arranging ""playdates,"" haircuts and more."		
Travis Kelce admits he thinks about retirement 'more than you can imagine'	Kansas City Chiefs tight end Travis Kelce has no intentions of hanging up his NFL cleats, but he admitted in an in-depth profile that he thinks about retirement nonstop.		
Taylor Swift's boyfriend Travis Kelce finally reveals how they met: 'She'll probably hate me for saying this'	Taylor Swift's boyfriend Travis Kelce is sweetly spilling all the details about how he and the popstar first started dating, and he gave kudos to her inner circle.		
Super Bowl champ dishes on Taylor Swift effect on NFL: 'I think it makes it fun'	New York Giants legend weighed in on the Taylor Swift effect on the NFL amid her relationship with Kansas City Chiefs superstar Travis Kelce.		
Biden cracks age joke on 81st birthday, then confuses Taylor Swift, Beyonce	President Biden, who turned 81 today, made jokes about his age during the White House turkey pardon before mixing up Taylor Swift and Beyonce in a remark.		
Taylor Swift gets emotional on stage performing song 'Bigger Than the Whole Sky' after fan's death	Taylor Swift appeared to pay tribute to a fan who died before her Eras tour performance on Friday in Rio de Janeiro, Brazil, after the city faced a heat wave.		
Eagles troll Travis Kelce ahead of major Monday night matchup	The Philadelphia Eagles may have given the Kansas City Chiefs some bulletin board material ahead of Monday night's matchup. They took aim at Travis Kelce.		
